0;0;0.0001;1;ff000000;0
178.727;71.0375;69.2586;2;ff000000;0
94.5538;26.6947;63.4409;3;ff000000;0
157.087;-37.2228;66.1249;4;ff000000;0
194.108;-0.29715;96.4093;5;ff000000;0
0;0;0.0001;6;ff000000;0
154.344;-29.8953;81.2573;7;ff000000;0
185.954;-3.14335;82.0655;8;ff000000;0
239.697;51.7177;71.9774;9;ff000000;0
0;0;0.0001;10;ff000000;0
120.303;51.7177;71.9774;11;ff000000;0
152.354;4.47934;83.2271;12;ff000000;0
209.233;-34.2353;75.543;13;ff000000;0
0;0;0.0001;14;ff000000;0
170.385;13.6283;95.4921;15;ff000000;0
190.646;7.15997;68.1964;16;ff000000;0
348.917;-11.9946;50.5247;17;ff000000;0
202.235;-23.5872;93.7163;18;ff000000;0
0;0;0.0001;19;ff000000;0
205.507;0;84.7614;20;ff000000;0
109.799;6.44178;66.8487;21;ff000000;0
0;0;0.0001;22;ff000000;0
355.972;4.01834;35.6756;23;ff000000;0
0;0;0.0001;24;ff000000;0
0;0;0.0001;25;ff000000;0
0;0;0.0001;26;ff000000;0
203.039;0;47.2705;27;ff000000;0
0;0;0.0001;28;ff000000;0
0;0;0.0001;29;ff000000;0
0;0;0.0001;30;ff000000;0
0;0;0.0001;31;ff000000;0
187.284;27.9024;75.8601;32;ff000000;0
306.416;-5.27604;38.0624;33;ff000000;0
0;0;0.0001;34;ff000000;0
0;0;0.0001;35;ff000000;0
0;0;0.0001;36;ff000000;0
322.907;55.5757;45.4615;37;ff000000;0
330.843;5.77399;54.6695;38;ff000000;0
0;0;0.0001;39;ff000000;0
192.918;14.5378;57.7646;40;ff000000;0
0;0;0.0001;41;ff000000;0
0;0;0.0001;42;ff000000;0
359.433;30.2905;58.4872;43;ff000000;0
0;0;0.0001;44;ff000000;0
242.526;36.6958;17.5713;45;ff000000;0
0;0;0.0001;46;ff000000;0
0;0;0.0001;47;ff000000;0
112.011;-33.0621;30.2448;48;ff000000;0
0;0;0.0001;49;ff000000;0
0;0;0.0001;50;ff000000;0
180.591;45.5831;69.3019;51;ff000000;0
0;0;0.0001;52;ff000000;0
